date,imports
1950-01-01,0.85
1951-01-01,0.844
1952-01-01,0.952
1953-01-01,1.034
1954-01-01,1.052
1955-01-01,1.248
1956-01-01,1.436
1957-01-01,1.574
1958-01-01,1.7
1959-01-01,1.78
1960-01-01,1.815
1961-01-01,1.917
1962-01-01,2.082
1963-01-01,2.123
1964-01-01,2.259
1965-01-01,2.468
1966-01-01,2.573
1967-01-01,2.537
1968-01-01,2.84
1969-01-01,3.166
1970-01-01,3.419
1971-01-01,3.926
1972-01-01,4.741
1973-01-01,6.256
1974-01-01,6.112
1975-01-01,6.056
1976-01-01,7.313
1977-01-01,8.807
1978-01-01,8.363
1979-01-01,8.456
1980-01-01,6.909
1981-01-01,5.996
1982-01-01,5.113
1983-01-01,5.051
1984-01-01,5.437
1985-01-01,5.067
1986-01-01,6.224
1987-01-01,6.678
1988-01-01,7.402
1989-01-01,8.061
1990-01-01,8.018
1991-01-01,7.627
1992-01-01,7.888
1993-01-01,8.62
1994-01-01,8.996
1995-01-01,8.835
1996-01-01,9.478
1997-01-01,10.162
1998-01-01,10.708
1999-01-01,10.852
2000-01-01,11.459
2001-01-01,11.871
2002-01-01,11.53
2003-01-01,12.264
2004-01-01,13.145
2005-01-01,13.714
2006-01-01,13.707
2007-01-01,13.468
2008-01-01,12.915
2009-01-01,11.691
2010-01-01,11.793
2011-01-01,11.436
2012-01-01,10.598
2013-01-01,9.859
2014-01-01,9.241
2015-01-01,9.449
2016-01-01,10.055
2017-01-01,10.144
2018-01-01,9.943
2019-01-01,9.141
2020-01-01,7.857
