DATE,L305141A027NBEA
1929-01-01,0.414
1930-01-01,0.5
1931-01-01,0.524
1932-01-01,0.522
1933-01-01,0.526
1934-01-01,0.563
1935-01-01,0.62
1936-01-01,0.69
1937-01-01,0.748
1938-01-01,0.782
1939-01-01,0.815
1940-01-01,0.865
1941-01-01,0.958
1942-01-01,0.855
1943-01-01,0.704
1944-01-01,0.681
1945-01-01,0.777
1946-01-01,1.02
1947-01-01,1.176
1948-01-01,1.318
1949-01-01,1.451
1950-01-01,1.625
1951-01-01,1.791
1952-01-01,1.968
1953-01-01,2.1
1954-01-01,2.296
1955-01-01,2.491
1956-01-01,2.788
1957-01-01,2.892
1958-01-01,2.969
1959-01-01,3.216
1960-01-01,3.397
1961-01-01,3.562
1962-01-01,3.792
1963-01-01,3.988
1964-01-01,4.212
1965-01-01,4.504
1966-01-01,4.754
1967-01-01,5.021
1968-01-01,5.484
1969-01-01,5.977
1970-01-01,6.407
1971-01-01,6.866
1972-01-01,7.625
1973-01-01,8.275
1974-01-01,8.132
1975-01-01,8.385
1976-01-01,8.961
1977-01-01,9.315
1978-01-01,9.744
1979-01-01,9.74
1980-01-01,9.57
1981-01-01,10.093
1982-01-01,10.466
1983-01-01,11.609
1984-01-01,12.907
1985-01-01,13.955
1986-01-01,14.949
1987-01-01,16.517
1988-01-01,17.554
1989-01-01,18.617
1990-01-01,20.121
1991-01-01,21.399
1992-01-01,22.866
1993-01-01,24.017
1994-01-01,25.174
1995-01-01,25.688
1996-01-01,26.606
1997-01-01,27.709
1998-01-01,28.625
1999-01-01,29.615
2000-01-01,30.368
2001-01-01,31.622
2002-01-01,32.396
2003-01-01,32.708
2004-01-01,33.944
2005-01-01,35.139
2006-01-01,36.293
2007-01-01,37.358
2008-01-01,36.916
2009-01-01,36.433
2010-01-01,38.269
2011-01-01,39.857
2012-01-01,40.242
2013-01-01,40.738
2014-01-01,41.777
2015-01-01,43.302
2016-01-01,43.845
